valid_time,temp_2m_t-5,temp_2m_t-4,temp_2m_t-3,temp_2m_t-2,temp_2m_t-1,temp_2m_t-0,dewpoint_2m_t-5,dewpoint_2m_t-4,dewpoint_2m_t-3,dewpoint_2m_t-2,dewpoint_2m_t-1,dewpoint_2m_t-0,wind_u_10m_t-5,wind_u_10m_t-4,wind_u_10m_t-3,wind_u_10m_t-2,wind_u_10m_t-1,wind_u_10m_t-0,wind_v_10m_t-5,wind_v_10m_t-4,wind_v_10m_t-3,wind_v_10m_t-2,wind_v_10m_t-1,wind_v_10m_t-0,surface_pressure_t-5,surface_pressure_t-4,surface_pressure_t-3,surface_pressure_t-2,surface_pressure_t-1,surface_pressure_t-0,target_temp_t+1
2023-11-10 20:00:00,-0.5311317,-0.54480803,-0.5372284,-0.54996353,-0.57446957,-0.58664,-0.60676175,-0.5997113,-0.59456885,-0.6178301,-0.6468675,-0.6458787,0.7706125,1.010194,1.2394594,1.2050484,1.1168131,1.1254668,0.104562014,0.31086338,0.41431078,0.57978654,0.7281458,0.87739223,0.64554006,0.6916596,0.6962376,0.6234764,0.5830052,0.512215,0.00095659494
2023-11-10 21:00:00,-0.54480803,-0.5372284,-0.54996353,-0.57446957,-0.58664,-0.5856834,-0.5997113,-0.59456885,-0.6178301,-0.6468675,-0.6458787,-0.64063525,1.010194,1.2394594,1.2050484,1.1168131,1.1254668,1.1962981,0.31086338,0.41431078,0.57978654,0.7281458,0.87739223,0.88132346,0.6916596,0.6962376,0.6234764,0.5830052,0.512215,0.54470646,-0.121527374
2023-11-10 22:00:00,-0.5372284,-0.54996353,-0.57446957,-0.58664,-0.5856834,-0.7072108,-0.59456885,-0.6178301,-0.6468675,-0.6458787,-0.64063525,-0.58605605,1.2394594,1.2050484,1.1168131,1.1254668,1.1962981,0.8326097,0.41431078,0.57978654,0.7281458,0.87739223,0.88132346,0.5220068,0.6962376,0.6234764,0.5830052,0.512215,0.54470646,0.556088,-0.09809321
2023-11-10 23:00:00,-0.54996353,-0.57446957,-0.58664,-0.5856834,-0.7072108,-0.805304,-0.6178301,-0.6468675,-0.6458787,-0.64063525,-0.58605605,-0.5929011,1.2050484,1.1168131,1.1254668,1.1962981,0.8326097,1.0508041,0.57978654,0.7281458,0.87739223,0.88132346,0.5220068,0.47940132,0.6234764,0.5830052,0.512215,0.54470646,0.556088,0.63404197,-0.05277306
2023-11-11 00:00:00,-0.57446957,-0.58664,-0.5856834,-0.7072108,-0.805304,-0.85807705,-0.6468675,-0.6458787,-0.64063525,-0.58605605,-0.5929011,-0.59025496,1.1168131,1.1254668,1.1962981,0.8326097,1.0508041,1.269541,0.7281458,0.87739223,0.88132346,0.5220068,0.47940132,0.4985679,0.5830052,0.512215,0.54470646,0.556088,0.63404197,0.6968735,-0.03577745
2023-11-11 01:00:00,-0.58664,-0.5856834,-0.7072108,-0.805304,-0.85807705,-0.8938545,-0.6458787,-0.64063525,-0.58605605,-0.5929011,-0.59025496,-0.57870966,1.1254668,1.1962981,0.8326097,1.0508041,1.269541,1.3947095,0.87739223,0.88132346,0.5220068,0.47940132,0.4985679,0.43896672,0.512215,0.54470646,0.556088,0.63404197,0.6968735,0.7341337,-0.024951637
2023-11-11 02:00:00,-0.5856834,-0.7072108,-0.805304,-0.85807705,-0.8938545,-0.91880614,-0.64063525,-0.58605605,-0.5929011,-0.59025496,-0.57870966,-0.55619,1.1962981,0.8326097,1.0508041,1.269541,1.3947095,1.5059178,0.88132346,0.5220068,0.47940132,0.4985679,0.43896672,0.43513015,0.54470646,0.556088,0.63404197,0.6968735,0.7341337,0.7934788,-0.019542575
2023-11-11 03:00:00,-0.7072108,-0.805304,-0.85807705,-0.8938545,-0.91880614,-0.9383487,-0.58605605,-0.5929011,-0.59025496,-0.57870966,-0.55619,-0.55174387,0.8326097,1.0508041,1.269541,1.3947095,1.5059178,1.4394462,0.5220068,0.47940132,0.4985679,0.43896672,0.43513015,0.35247067,0.556088,0.63404197,0.6968735,0.7341337,0.7934788,0.82765514,-0.011394441
2023-11-11 04:00:00,-0.805304,-0.85807705,-0.8938545,-0.91880614,-0.9383487,-0.94974315,-0.5929011,-0.59025496,-0.57870966,-0.55619,-0.55174387,-0.54768074,1.0508041,1.269541,1.3947095,1.5059178,1.4394462,1.5011579,0.47940132,0.4985679,0.43896672,0.43513015,0.35247067,0.20082538,0.63404197,0.6968735,0.7341337,0.7934788,0.82765514,0.87453777,-0.026326954
2023-11-11 05:00:00,-0.85807705,-0.8938545,-0.91880614,-0.9383487,-0.94974315,-0.9760701,-0.59025496,-0.57870966,-0.55619,-0.55174387,-0.54768074,-0.56059086,1.269541,1.3947095,1.5059178,1.4394462,1.5011579,1.4835376,0.4985679,0.43896672,0.43513015,0.35247067,0.20082538,-0.017463267,0.6968735,0.7341337,0.7934788,0.82765514,0.87453777,0.8984983,0.000510931
